chunk_id,question,answer,n_sentences,sentences,sentences_join
G00076103-09_foxetin-web#0600,¿Cuál es el efecto de la fluoxetina en los cachorros nacidos muertos?,Hubo un incremento de cachorros nacidos muertos.,4,"['No hubo evidencia de desarrollo de neurotoxicidad en las crías que sobrevivieron de ratas tratadas con 12 mg/kg/día durante la gestación.', 'No hubo efecto de dosis sobre la motarlidad de cachorros de ratas con dosis de 5 mg/ kg/día (0,6 veces la dosis máxima recomendada en humanos sobre una base de un mg/m2).', 'Se desconoce el efecto de fluoxetina sobre el trabajo de parto y el alumbramiento en los humanos.', 'Un lactante amamantado por una madre bajo tratamiento con fluoxetina presentó llanto, perturbación del sueño, vómitos y deposiciones acuosas.']","No hubo evidencia de desarrollo de neurotoxicidad en las crías que sobrevivieron de ratas tratadas con 12 mg/kg/día durante la gestación. || No hubo efecto de dosis sobre la motarlidad de cachorros de ratas con dosis de 5 mg/ kg/día (0,6 veces la dosis máxima recomendada en humanos sobre una base de un mg/m2). || Se desconoce el efecto de fluoxetina sobre el trabajo de parto y el alumbramiento en los humanos. || Un lactante amamantado por una madre bajo tratamiento con fluoxetina presentó llanto, perturbación del sueño, vómitos y deposiciones acuosas."
G00076301-16-Gammatet_T-web#0615,¿Cuál es la temperatura de conservación del medicamento GAMMATET-T?,Mantener entre 2oC y 8oC.,2,"['Mantener entre 2oC y 8oC.', 'No congelar.']",Mantener entre 2oC y 8oC. || No congelar.
G00076604-04-elafax-web#0630,"¿Cuál es el peso de Venlafaxina en cada cápsula con microgránulos de ELAFAX LP 37,5?",37.5 mg,3,"['Cada cápsula con microgránulos de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) .................................. 37,5 mg', 'liberación prolongada de Cada cápsula con microgránulos de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) .................................. 37,5 mg', 'Cada cápsula con microgránulos de ELAFAX LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) .................................. 37,5 mg']","Cada cápsula con microgránulos de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) .................................. 37,5 mg || liberación prolongada de Cada cápsula con microgránulos de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) .................................. 37,5 mg || Cada cápsula con microgránulos de ELAFAX LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) .................................. 37,5 mg"
G00076604-04-elafax-web#0645,¿Cuál es el peso de la Venlafaxina en cada cápsula?,75 mg,2,"['Venlafaxina (como clorhidrato 84,85 mg) .................................... 75 mg', 'liberación prolongada de Cada cápsula con microgránulos de ELAFAX® LP 150 contiene: Venlafaxina (como clorhidrato 169,7 mg) ...................................']","Venlafaxina (como clorhidrato 84,85 mg) .................................... 75 mg || liberación prolongada de Cada cápsula con microgránulos de ELAFAX® LP 150 contiene: Venlafaxina (como clorhidrato 169,7 mg) ..................................."
G00076604-04-elafax-web#0660,¿Cuál es el mecanismo de acción de la venlafaxina?,"La potenciación de la actividad de neurotransmisores a nivel del sistema nervioso central, específicamente como inhibidor selectivo de la recaptación neuronal de serotonina y norepinefrina e inhibidor débil de la recaptación de dopamina.",2,"['El mecanismo de acción de venlafaxina se ha adjudicado a la potenciación de la actividad de neurotransmisores a nivel del sistema nervioso central.', 'Tanto  venlafaxina  como  su  metabolito  activo,  O-desmetilvenlafaxina (ODV), son potentes inhibidores selectivos de la recaptación neuronal de serotonina y norepinefrina e inhibidor débil de la recaptación de dopamina.']","El mecanismo de acción de venlafaxina se ha adjudicado a la potenciación de la actividad de neurotransmisores a nivel del sistema nervioso central. || Tanto  venlafaxina  como  su  metabolito  activo,  O-desmetilvenlafaxina (ODV), son potentes inhibidores selectivos de la recaptación neuronal de serotonina y norepinefrina e inhibidor débil de la recaptación de dopamina."
G00076604-04-elafax-web#0675,¿Cuál es el efecto de la cimetidina en el clearance oral de venlafaxina?,Se observó una reducción del clearance oral de venlafaxina en un 43%.,1,"['En la administración concomitante de cimetidina con venlafaxina, se observó una reducción del clearance oral de venlafaxina en un 43% y aumento del área bajo la curva y Cmáx del 60% aproximadamente.']","En la administración concomitante de cimetidina con venlafaxina, se observó una reducción del clearance oral de venlafaxina en un 43% y aumento del área bajo la curva y Cmáx del 60% aproximadamente."
G00076604-04-elafax-web#0690,¿Cuánto clorhidrato de venlafaxina contiene cada cápsula?,42.43 mg de clorhidrato de venlafaxina,3,"['Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) ................................ 37,5 mg', 'Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) ................................ 37,5 mg', 'Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) ................................ 37,5 mg']","Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) ................................ 37,5 mg || Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) ................................ 37,5 mg || Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 37,5 contiene: Venlafaxina (como clorhidrato 42,43 mg) ................................ 37,5 mg"
G00076604-04-elafax-web#0705,¿Cuál es el peso de la Venlafaxina en cada cápsula de ELAFAX LP 75?,75 mg,1,"['Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 75 contiene: Venlafaxina (como clorhidrato 84,85 mg) .................................. 75 mg']","Cada cápsula con microgránulos de liberación prolongada de ELAFAX® LP 75 contiene: Venlafaxina (como clorhidrato 84,85 mg) .................................. 75 mg"
G00076604-04-elafax-web#0720,¿Puedo tomar ELAFAX LP con otros medicamentos?,No se proporciona información sobre la compatibilidad de ELAFAX LP con otros medicamentos.,8,"['Coméntele a su médico sobre todos los medicamentos que esté tomando  o  haya  tomado  recientemente,  incluidos  medicamentos  de venta  bajo  receta,  de  venta  libre,  suplementos  a  base  de  hierbas  y vitaminas.', 'Inhibidores de la monoaminooxidasa usados para tratar la depresión o la enfermedad de Parkinson no se deben tomar con Venlafaxina de liberación  prolongada.', 'Dígale  a  su  médico  si  ha  tomado  alguno  de estos medicamentos en los últimos 14 días.', 'Para evitar el sindrome serotoninérgico, cuando se combinan ciertas medicaciones, coméntele a su medico si se encuentra tomando:', 'Tomar un IMAO irreversible junto con venlafaxina de liberación prolongada, puede producir efectos adversos graves o incluso potencialmente mortales.', 'Además, debe esperar al menos 7 días una vez que deje de tomar ELAFAX® LP antes de tomar cualquier IMAO (ver ¿Puedo tomar ELAFAX® LP con otros medicamentos?).', 'Informe a su médico si está tomando medicamentos que puedan alterar el ritmo del corazón.', 'Si utiliza otros medicamentos que tomados junto con venlafaxina podrían aumentar el riesgo de desarrollar síndrome serotoninérgico (ver ¿Puedo tomar ELAFAX® LP con otros medicamentos?).']","Coméntele a su médico sobre todos los medicamentos que esté tomando  o  haya  tomado  recientemente,  incluidos  medicamentos  de venta  bajo  receta,  de  venta  libre,  suplementos  a  base  de  hierbas  y vitaminas. || Inhibidores de la monoaminooxidasa usados para tratar la depresión o la enfermedad de Parkinson no se deben tomar con Venlafaxina de liberación  prolongada. || Dígale  a  su  médico  si  ha  tomado  alguno  de estos medicamentos en los últimos 14 días. || Para evitar el sindrome serotoninérgico, cuando se combinan ciertas medicaciones, coméntele a su medico si se encuentra tomando: || Tomar un IMAO irreversible junto con venlafaxina de liberación prolongada, puede producir efectos adversos graves o incluso potencialmente mortales. || Además, debe esperar al menos 7 días una vez que deje de tomar ELAFAX® LP antes de tomar cualquier IMAO (ver ¿Puedo tomar ELAFAX® LP con otros medicamentos?). || Informe a su médico si está tomando medicamentos que puedan alterar el ritmo del corazón. || Si utiliza otros medicamentos que tomados junto con venlafaxina podrían aumentar el riesgo de desarrollar síndrome serotoninérgico (ver ¿Puedo tomar ELAFAX® LP con otros medicamentos?)."
G00076702-09-elafax-web#0735,¿Cuál es la recomendación para reducir la dosis de venlafaxina en pacientes sometidos a hemodiálisis?,La dosis diaria total se reduzca en un 50% y que la misma no sea administrada hasta que se termine la sesión (4 horas).,1,"['En los pacientes sometidos a hemodiálisis, es recomendable que la dosis diaria total se reduzca en un 50% y que la misma no sea administrada hasta que se termine la sesión (4 horas).']","En los pacientes sometidos a hemodiálisis, es recomendable que la dosis diaria total se reduzca en un 50% y que la misma no sea administrada hasta que se termine la sesión (4 horas)."
G00076702-09-elafax-web#0750,¿Cuál es el efecto adverso más comúnmente observado en pacientes tratados con venlafaxina?,Astenia,5,"['Los neonatos expuestos a venlafaxina, otros IRNSs (inhibidores de la recaptación de norepinefrina y serotonina), o ISRSs (inhibidores selectivos de la recaptación de serotonina) durante el tercer trimestre, han tenido complicaciones que requirieron hospitalizaciones prolongadas, apoyo  respiratorio  y  alimentación  por  sonda.', 'Los efectos adversos más comúnmente observados asociados con el uso de venlafaxina (incidencia del 5% o mayor) y no observados con una  incidencia  equivalente  entre  los  pacientes  tratados  con  placebo fueron: astenia, aumento de la sudoración, náuseas, constipación, anorexia, vómitos, somnolencia, sequedad bucal, vértigo, nerviosismo, ansiedad, temblor y visión borrosa, eyaculación u orgasmos anormales e impotencia en los hombres.', 'Entre los pacientes tratados con venlafaxina a dosis entre 75 y 375 mg/ día que participaron en ensayos a corto plazo (4 a 8 semanas), las frecuencias de efectos adversos manifestados en algún momento durante el tratamiento fueron:', 'Los pacientes tratados con venlafaxina tuvieron aumentos promedio en relación a los valores basales de 3 mg/dL, cambio éste de significación clínica desconocida.', 'El incremento del colesterol sérico clínicamente relevante, fue registrado en el 5,3% de los pacientes tratados con venlafaxina y 0% de los pacientes tratados con placebo.']","Los neonatos expuestos a venlafaxina, otros IRNSs (inhibidores de la recaptación de norepinefrina y serotonina), o ISRSs (inhibidores selectivos de la recaptación de serotonina) durante el tercer trimestre, han tenido complicaciones que requirieron hospitalizaciones prolongadas, apoyo  respiratorio  y  alimentación  por  sonda. || Los efectos adversos más comúnmente observados asociados con el uso de venlafaxina (incidencia del 5% o mayor) y no observados con una  incidencia  equivalente  entre  los  pacientes  tratados  con  placebo fueron: astenia, aumento de la sudoración, náuseas, constipación, anorexia, vómitos, somnolencia, sequedad bucal, vértigo, nerviosismo, ansiedad, temblor y visión borrosa, eyaculación u orgasmos anormales e impotencia en los hombres. || Entre los pacientes tratados con venlafaxina a dosis entre 75 y 375 mg/ día que participaron en ensayos a corto plazo (4 a 8 semanas), las frecuencias de efectos adversos manifestados en algún momento durante el tratamiento fueron: || Los pacientes tratados con venlafaxina tuvieron aumentos promedio en relación a los valores basales de 3 mg/dL, cambio éste de significación clínica desconocida. || El incremento del colesterol sérico clínicamente relevante, fue registrado en el 5,3% de los pacientes tratados con venlafaxina y 0% de los pacientes tratados con placebo."
G00076702-09-elafax-web#0765,¿Cuál es el síntoma más común que puede ocurrir cuando se deja de tomar ELAFAX® repentinamente?,somnolencia,1,"['Los síntomas más comunes ante la interrupción o la reducción de la dosis son: somnolencia, astenia (sensación de cansancio) vértigo (sensación que las cosas dan vuelta), cefaleas, insomnio, sequedad de boca, náuseas, nerviosismo, ansiedad, sudoración, eyaculación anormal. Su médico le aconsejará sobre cómo debe interrumpir gradualmente el tratamiento con ELAFAX®.']","Los síntomas más comunes ante la interrupción o la reducción de la dosis son: somnolencia, astenia (sensación de cansancio) vértigo (sensación que las cosas dan vuelta), cefaleas, insomnio, sequedad de boca, náuseas, nerviosismo, ansiedad, sudoración, eyaculación anormal. Su médico le aconsejará sobre cómo debe interrumpir gradualmente el tratamiento con ELAFAX®."
G00076803-05-elafax-web#0780,¿Cuál es el riesgo potencial de usar Venlafaxina en pacientes con Trastorno Depresivo Mayor?,El beneficio clínico debe justificar el riesgo potencial al usar Venlafaxina en pacientes con Trastorno Depresivo Mayor.,7,"['El uso de antidepresivos con indicación aprobada por ensayos clínicos controlados  en  adultos  con  Trastorno  Depresivo  Mayor  (TDM)  y  otras condiciones psiquiátricas deberá establecerse en un marco terapéutico adecuado a cada paciente en particular.', 'Aunque la causalidad ante la aparición de estos síntomas y el empeoramiento de la depresión y/o la aparición de impulsos suicidas no ha sido establecida, existe la inquietud de que dichos síntomas puedan ser precursores de ideación suicida emergente.', 'Se desconoce si el riesgo de pensamientos y conductas suicidas en niños, adolescentes y adultos jóvenes se extiende al uso a largo plazo, es decir, más de cuatro meses.', 'Sin embargo, existe una sustancial evidencia de ensayos de mantenimiento controlados con placebo en adultos con TDM de que los antidepresivos retrasan la recurrencia de la depresión y que la depresión en sí misma es un factor de riesgo para pensamientos suicidas y comportamientos.', 'Si se toma la decisión de discontinuar el tratamiento la medicación debe ser reducida lo más rápidamente posible, pero teniendo en cuenta el esquema indicado para cada principio activo dado que en algunos casos la discontinuación abrupta puede asociarse con ciertos síntomas de retirada.', 'Análisis combinados de fármacos antidepresivos (ISRSs y otros) a corto plazo, controlados con placebo, mostraron que estos fármacos aumentan el riesgo de pensamiento y comportamiento suicida (suicidalidad) en niños, adolescentes y adultos jóvenes (18-24 años) con TDM y otros trastornos psiquiátricos.', 'Los estudios a corto plazo no mostraron un incremento del riesgo de suicidalidad con antidepresivos, comparado con placebo en adultos mayores de 24 años; ha habido una reducción con antidepresivos comparado con placebo en adultos ≥ 65 años.']","El uso de antidepresivos con indicación aprobada por ensayos clínicos controlados  en  adultos  con  Trastorno  Depresivo  Mayor  (TDM)  y  otras condiciones psiquiátricas deberá establecerse en un marco terapéutico adecuado a cada paciente en particular. || Aunque la causalidad ante la aparición de estos síntomas y el empeoramiento de la depresión y/o la aparición de impulsos suicidas no ha sido establecida, existe la inquietud de que dichos síntomas puedan ser precursores de ideación suicida emergente. || Se desconoce si el riesgo de pensamientos y conductas suicidas en niños, adolescentes y adultos jóvenes se extiende al uso a largo plazo, es decir, más de cuatro meses. || Sin embargo, existe una sustancial evidencia de ensayos de mantenimiento controlados con placebo en adultos con TDM de que los antidepresivos retrasan la recurrencia de la depresión y que la depresión en sí misma es un factor de riesgo para pensamientos suicidas y comportamientos. || Si se toma la decisión de discontinuar el tratamiento la medicación debe ser reducida lo más rápidamente posible, pero teniendo en cuenta el esquema indicado para cada principio activo dado que en algunos casos la discontinuación abrupta puede asociarse con ciertos síntomas de retirada. || Análisis combinados de fármacos antidepresivos (ISRSs y otros) a corto plazo, controlados con placebo, mostraron que estos fármacos aumentan el riesgo de pensamiento y comportamiento suicida (suicidalidad) en niños, adolescentes y adultos jóvenes (18-24 años) con TDM y otros trastornos psiquiátricos. || Los estudios a corto plazo no mostraron un incremento del riesgo de suicidalidad con antidepresivos, comparado con placebo en adultos mayores de 24 años; ha habido una reducción con antidepresivos comparado con placebo en adultos ≥ 65 años."
G00076803-05-elafax-web#0795,¿Cuál es la frecuencia de náuseas como reacción adversa en pacientes que toman este medicamento?,30%,3,"['Las reacciones adversas más comunes son náuseas (30%), somnolencia (15,3%), boca seca (14,8%), sudoración (11,4%), eyaculación anormal (9,9%), anorexia (9,8%), constipación (9,3%), impotencia (5,3%) y disminución de la libido (5,1%).', 'El 12% de los pacientes que recibieron venlafaxina de liberación controlada en estudios clínicos a corto plazo, en las cuatro indicaciones, discontinuó el tratamiento por eventos adversos comparado al 4% que estaba tratado con placebo. Las reacciones adversas más comunes fueron: astenia, cefalea, náuseas, mareos, insomnio, somnolencia y sudoración.', 'Generales: Frecuente: astenia. Digestivos:. Frecuentes: Nauseas, boca seca.']","Las reacciones adversas más comunes son náuseas (30%), somnolencia (15,3%), boca seca (14,8%), sudoración (11,4%), eyaculación anormal (9,9%), anorexia (9,8%), constipación (9,3%), impotencia (5,3%) y disminución de la libido (5,1%). || El 12% de los pacientes que recibieron venlafaxina de liberación controlada en estudios clínicos a corto plazo, en las cuatro indicaciones, discontinuó el tratamiento por eventos adversos comparado al 4% que estaba tratado con placebo. Las reacciones adversas más comunes fueron: astenia, cefalea, náuseas, mareos, insomnio, somnolencia y sudoración. || Generales: Frecuente: astenia. Digestivos:. Frecuentes: Nauseas, boca seca."
G00077101-11-INSOMNIUM#0810,¿Cuántas horas debe descansar después de tomar INSOMNIUM®?,7 - 8 horas,2,"['Se recomienda descansar durante 7 - 8 horas después de la toma de INSOMNIUM®.', 'es conveniente que se asegure que podrá descansar sin ser despertado durante 7 - 8 horas.']",Se recomienda descansar durante 7 - 8 horas después de la toma de INSOMNIUM®. || es conveniente que se asegure que podrá descansar sin ser despertado durante 7 - 8 horas.
G00077101-11-INSOMNIUM#0825,¿Cuál es el efecto común de la administración prolongada de zopiclona?,La reaparición de los síntomas que provocaron la indicación del medicamento.,2,"['El efecto terapéutico de las benzodiazepinas y drogas relacionadas puede disminuir con el uso repetido por varias semanas.', 'Aún cuando no se ha reportado todavía con zopiclona, debe tenerse en cuenta el fenómeno de tolerancia,']","El efecto terapéutico de las benzodiazepinas y drogas relacionadas puede disminuir con el uso repetido por varias semanas. || Aún cuando no se ha reportado todavía con zopiclona, debe tenerse en cuenta el fenómeno de tolerancia,"
G00077101-11-INSOMNIUM#0840,¿Cuál es el medicamento que debe ser usado exclusivamente bajo prescripción y vigilancia médica?,INSOMNIUM®,1,['Este medicamento debe ser usado exclusivamente bajo prescripción y vigilancia médica y no puede repetirse sin nueva receta médica.'],Este medicamento debe ser usado exclusivamente bajo prescripción y vigilancia médica y no puede repetirse sin nueva receta médica.
G00077101-11-INSOMNIUM#0870,¿Cuál es el tratamiento recomendado para inducir el vómito en caso de sobredosis de zopiclona?,Inducir el vómito antes de una hora si el paciente conserva la consciencia o realizar un lavado gástrico con conservación de la vía aérea si está inconsciente.,2,"['Si el paciente conserva la consciencia, debe inducirse el vómito (antes de una hora) o realizarse un lavado gástrico con conservación de la vía aérea si está inconsciente.', 'Si el vaciado gástrico no aporta ninguna ventaja, debe administrarse carbón activado para reducir la absorción.']","Si el paciente conserva la consciencia, debe inducirse el vómito (antes de una hora) o realizarse un lavado gástrico con conservación de la vía aérea si está inconsciente. || Si el vaciado gástrico no aporta ninguna ventaja, debe administrarse carbón activado para reducir la absorción."
G00077503-02-ProspectoWebMarvil70#0885,¿Cuál es la dosis recomendada de MARVIL® 70?,"1 comprimido, una vez a la semana",3,"['La dosis recomendada de MARVIL® 70, es de 1 comprimido, una vez a la semana.', 'MARVIL® 70 debe tomarse por lo menos media hora antes de la ingestión de la primer comida, bebida o medicamento del día, acompañado de un vaso con agua corriente potable, solamente', 'Los pacientes deben recibir calcio y vitamina D suplementarios, si su ingesta dietaria es inadecuada']","La dosis recomendada de MARVIL® 70, es de 1 comprimido, una vez a la semana. || MARVIL® 70 debe tomarse por lo menos media hora antes de la ingestión de la primer comida, bebida o medicamento del día, acompañado de un vaso con agua corriente potable, solamente || Los pacientes deben recibir calcio y vitamina D suplementarios, si su ingesta dietaria es inadecuada"
G00078104-18-novacef-web#0900,¿Qué tipo de medicamento es NOVACEF?,Cefalexina,2,"['NOVACEF® CEFIXIMA 400 mg', 'Cada comprimido recubierto contiene: Cefixima..................................................................................400,00 mg']","NOVACEF® CEFIXIMA 400 mg || Cada comprimido recubierto contiene: Cefixima..................................................................................400,00 mg"
G00078104-18-novacef-web#0915,¿Cuál es el tratamiento recomendado para la sobredosificación de NOVACEF?,"El tratamiento recomendado incluye vómito provocado o lavado gástrico, carbón activado y purgante salino (45 a 60 min. luego del carbón activado), según la evaluación clínica del paciente.",5,"['No existen antídotos específicos para la cefixima.', 'Las reacciones adversas vistas en niveles superiores a 2 gramos de cefixima, no difieren del perfil visto en pacientes tratados a las dosis habituales.', 'Luego de una cuidadosa evaluación clínica del paciente, de la valoración del tiempo transcurrido desde la ingesta, de la cantidad de droga ingerida y descartando la contraindicación de ciertos procedimientos, el profesional decidirá la realización o no del tratamiento general de rescate: vómito provocado o lavado gástrico, carbón activado, purgante salino (45 a 60 min. luego del carbón activado) o aquellos procedimientos terapéuticos que considere necesarios.', 'No se remueven cantidades significativas de cefixima por hemodiálisis ni por diálisis peritoneal.', 'Ante la eventualidad de una sobredosificación, concurrir al Hospital más cercano o comunicarse con los centros de Toxicología: HOSPITAL DE PEDIATRÍA RICARDO GUTIÉRREZ - BUENOS AIRES: (011) 4962-6666/2247. HOSPITAL NAC. ALEJANDRO POSADAS - HAEDO (PCIA. DE BS AS): (011) 4654-6648/4658-7777. Optativamente otros Centros de Intoxicaciones.']","No existen antídotos específicos para la cefixima. || Las reacciones adversas vistas en niveles superiores a 2 gramos de cefixima, no difieren del perfil visto en pacientes tratados a las dosis habituales. || Luego de una cuidadosa evaluación clínica del paciente, de la valoración del tiempo transcurrido desde la ingesta, de la cantidad de droga ingerida y descartando la contraindicación de ciertos procedimientos, el profesional decidirá la realización o no del tratamiento general de rescate: vómito provocado o lavado gástrico, carbón activado, purgante salino (45 a 60 min. luego del carbón activado) o aquellos procedimientos terapéuticos que considere necesarios. || No se remueven cantidades significativas de cefixima por hemodiálisis ni por diálisis peritoneal. || Ante la eventualidad de una sobredosificación, concurrir al Hospital más cercano o comunicarse con los centros de Toxicología: HOSPITAL DE PEDIATRÍA RICARDO GUTIÉRREZ - BUENOS AIRES: (011) 4962-6666/2247. HOSPITAL NAC. ALEJANDRO POSADAS - HAEDO (PCIA. DE BS AS): (011) 4654-6648/4658-7777. Optativamente otros Centros de Intoxicaciones."
G00078202-09-Lercadip_web#0930,¿Cuál es la cantidad de lactosa monohidrato en cada comprimido recubierto de LERCADIP?,"30,000 mg",2,"['Cada comprimido recubierto de LERCADIP® 10 contiene: Lercanidipina clorhidrato (como Lercanidipina 9,4 mg) ................ 10 mg Excipientes: Lactosa monohidrato ............................................................ 30,000 mg', 'Cada comprimido recubierto de LERCADIP® 10 contiene: Lercanidipina clorhidrato (como Lercanidipina 9,4 mg) ................ 10 mg Excipientes: Lactosa monohidrato ............................................................ 30,000 mg']","Cada comprimido recubierto de LERCADIP® 10 contiene: Lercanidipina clorhidrato (como Lercanidipina 9,4 mg) ................ 10 mg Excipientes: Lactosa monohidrato ............................................................ 30,000 mg || Cada comprimido recubierto de LERCADIP® 10 contiene: Lercanidipina clorhidrato (como Lercanidipina 9,4 mg) ................ 10 mg Excipientes: Lactosa monohidrato ............................................................ 30,000 mg"
G00078202-09-Lercadip_web#0945,¿Cuánto talco contiene cada comprimido recubierto de LERCADIP?,0.150 mg,3,"['Talco ......................................................................................... 0,150 mg', 'Talco ........................................................................................ 0,300 mg', 'Talco ........................................................................................ 0,300 mg']","Talco ......................................................................................... 0,150 mg || Talco ........................................................................................ 0,300 mg || Talco ........................................................................................ 0,300 mg"
G00078202-09-Lercadip_web#0960,¿Cuál es el tratamiento recomendado para los casos de hipotensión clínicamente significativa en sobredosis de lercanidipina?,"Los casos de hipotensión clínicamente significativa requieren apoyo cardiovascular activo, como supervisión frecuente de la función respiratoria y cardiaca, elevación de las extremidades y atención al volumen de líquidos en circulación y volumen de orina.",3,"['Los casos de hipotensión clínicamente significativa requieren apoyo cardiovascular activo, como supervisión frecuente de la función respiratoria y cardiaca, elevación de las extremidades y atención al volumen de líquidos en circulación y volumen de orina.', 'En vista del efecto farmacológico prolongado de lercanidipina, es esencial que el estado cardiovascular del paciente se supervise durante al menos 24 horas.', 'Debido a los elevados niveles de fijación de proteínas del fármaco, la diálisis podría no resultar efectiva.']","Los casos de hipotensión clínicamente significativa requieren apoyo cardiovascular activo, como supervisión frecuente de la función respiratoria y cardiaca, elevación de las extremidades y atención al volumen de líquidos en circulación y volumen de orina. || En vista del efecto farmacológico prolongado de lercanidipina, es esencial que el estado cardiovascular del paciente se supervise durante al menos 24 horas. || Debido a los elevados niveles de fijación de proteínas del fármaco, la diálisis podría no resultar efectiva."
G00078202-09-Lercadip_web#0975,¿Cuánto dióxido de titanio contiene cada comprimido recubierto de LERCADIP?,"1,200 mg",6,"['Cada comprimido recubierto de LERCADIP® 20 contiene: Lercanidipina clorhidrato (como Lercanidipina 18,8 mg) .......... 20 mg', 'Dióxido de titanio ................................................. ................ 0,600 mg', 'Talco ...................................................................................... 0,150 mg Polietilenglicol 6000 ........................................... ................ 0,300 mg Oxido férrico ........................................................................ . 0,037 mg Cada comprimido recubierto de LERCADIP® 20 contiene: Lercanidipina clorhidrato (como Lercanidipina 18,8 mg) .......... 20 mg', 'Dióxido de titanio ................................................................. 1,200 mg', 'Macrogol 6000 .................................................................... 0,600 mg Oxido de hierro .................................................. ................... 0,075 mg Cada comprimido recubierto de LERCADIP® 20 contiene: Lercanidipina clorhidrato (como Lercanidipina 18,8 mg) .......... 20 mg', 'Dióxido de titanio ................................................................. 1,200 mg Macrogol 6000 .................................................................... 0,600 mg Oxido de hierro .................................................. ................... 0,075 mg']","Cada comprimido recubierto de LERCADIP® 20 contiene: Lercanidipina clorhidrato (como Lercanidipina 18,8 mg) .......... 20 mg || Dióxido de titanio ................................................. ................ 0,600 mg || Talco ...................................................................................... 0,150 mg Polietilenglicol 6000 ........................................... ................ 0,300 mg Oxido férrico ........................................................................ . 0,037 mg Cada comprimido recubierto de LERCADIP® 20 contiene: Lercanidipina clorhidrato (como Lercanidipina 18,8 mg) .......... 20 mg || Dióxido de titanio ................................................................. 1,200 mg || Macrogol 6000 .................................................................... 0,600 mg Oxido de hierro .................................................. ................... 0,075 mg Cada comprimido recubierto de LERCADIP® 20 contiene: Lercanidipina clorhidrato (como Lercanidipina 18,8 mg) .......... 20 mg || Dióxido de titanio ................................................................. 1,200 mg Macrogol 6000 .................................................................... 0,600 mg Oxido de hierro .................................................. ................... 0,075 mg"
G00078605-05-PAXON_web#0990,¿Cuál fue la reducción del riesgo de accidente cerebrovascular en pacientes tratados con losartán comparado con atenolol?,Un 25% en relación a atenolol.,2,"['El tratamiento con losartán produjo una reducción del riesgo del 13,0% (p=0,021, IC del 95% 0,77-0,98), comparado con atenolol en los pacientes que alcanzaban el objetivo principal combinado. Esto se atribuye principalmente a una reducción en la incidencia de accidente cerebrovascular.', 'El tratamiento con losartán redujo el riesgo de accidente cerebrovascular en un 25% en relación a atenolol (p=0,001, IC del 95% 0,63- 0,89).']","El tratamiento con losartán produjo una reducción del riesgo del 13,0% (p=0,021, IC del 95% 0,77-0,98), comparado con atenolol en los pacientes que alcanzaban el objetivo principal combinado. Esto se atribuye principalmente a una reducción en la incidencia de accidente cerebrovascular. || El tratamiento con losartán redujo el riesgo de accidente cerebrovascular en un 25% en relación a atenolol (p=0,001, IC del 95% 0,63- 0,89)."
G00078605-05-PAXON_web#1005,¿Quién debe evitar tomar PAXON® si está embarazada de más de 3 meses?,No debe tomar PAXON® si está embarazada de más de 3 meses.,1,"['No tome PAXON®: • Si está embarazada de más de 3 meses (también es mejor evitar PAXON® al principio del embarazo, ver Embarazo y lactancia).']","No tome PAXON®: • Si está embarazada de más de 3 meses (también es mejor evitar PAXON® al principio del embarazo, ver Embarazo y lactancia)."
