chunk_id,question_original,question_evolved
Neuristan_50__Instruccion-Neuristan-50-editable#7700,¿Puede tomar NEURISTAN® con o sin alimentos?,¿Con qué alimentos se puede tomar NEURISTAN®?
Nirpol_D__Instruccion-Nirpol-D-editable-1#7750,¿La hidroclorotiazida puede aumentar los niveles séricos de calcio?,¿Algunos medicamentos pueden aumentar los niveles de calcio con hidroclorotiazida?
Oleofin_120__D0864-E-1164-01-Instrucci_n-Oleofin-120#7800,¿Cuál es el consejo que se debe dar a los pacientes sobre la ingesta diaria de grasa al tomar orlistat?,¿Cuál es el consejo que se debe dar a los pacientes sobre la ingesta diaria de grasa al tomar orlistat?
Oxodrol__D7345-E-7006-01-INST-OXODROL-COMPLETA-Uhlmann-600x200-web#7850,¿Es necesario modificar la dosis del dexlansoprazol en pacientes con insuficiencia renal?,¿Cómo afecta la insuficiencia renal a la dosificación del dexlansoprazol?
PALIAX-D-G00194600-00#7900,¿Cuál es la temperatura ambiente recomendada para conservar el medicamento PALIAX® D?,¿Cuál es la temperatura ambiente recomendada para conservar el medicamento PALIAX® D?
Pelmec_AT__D2216-E-1938-02-Instrucci_n-Pelmec-AT#7950,¿Qué pacientes deben utilizar con precaución el medicamento PELMEC AT?,¿Qué pacientes deben utilizar con precaución el medicamento PELMEC AT?
Pelmec_Plus__D2094-E-1806-03-Instrucci_n-Pelmec-Plus#8000,¿Cuál es el efecto que puede causar la atorvastatina sobre los niveles de digoxina en pacientes que la toman simultáneamente?,¿Puede la atorvastatina afectar a la digoxina en combinación?
Pleyar__D2812-E-2486-02-Instrucci_n-Pleyar-1#8050,¿Cuál es el porcentaje de pacientes que desarrollaron neutropenia severa en el estudio CAPRIE con clopidogrel?,¿Cuál es el porcentaje de pacientes que desarrollaron neutropenia severa en el estudio CAPRIE con clopidogrel?
Pr.Etabyx.500-1000mg.v01-web#8100,¿Cuál es la dosis inicial recomendada para un niño o adolescente de 25 kg que tome levetiracetam?,¿Cuál es la dosis inicial recomendada para un niño o adolescente de 25 kg que tome levetiracetam?
Prospecto-Lucaftor100-125-2024#8150,¿Se necesita ajustar la dosis de lumacaftor en pacientes con insuficiencia hepática leve?,¿Se necesita ajustar la dosis de lumacaftor en pacientes con insuficiencia hepática leve?
Prospecto-Sinlip-EZ-Unificado-Oct-2022#8250,¿Se recomienda interrumpir el tratamiento con ezetimiba si una paciente queda embarazada?,¿Qué efectos tiene el embarazo en el tratamiento con ezetimiba?
Resbiotic__Instruccion-Resbiotic-200-x-300-mm#8300,¿La clindamicina atraviesa la placenta en humanos?,¿La clindamicina atraviesa la placenta en humanos?
Rostrum_XR__Instruccion-Rostrum-XR-editable#8350,"¿Qué efectos adversos sobre el hígado se observaron en ratones, ratas y monos tratados con quetiapina?","¿Qué efectos adversos sobre el hígado se observaron en ratones, ratas y monos tratados con quetiapina?"
Saglox_Met__SAGLOX-MET-WEB_compressed#8400,¿A qué temperatura se deben conservar los medicamentos?,¿Qué condiciones de almacenamiento tienen los medicamentos como el Act?
Sinulcus_40_Venta_Libre___D3007-E-2680-01-Instruccion-Sinulcus#8450,¿Cuál es el medicamento que no debe ser tomado por los pacientes con afecciones hereditarias poco frecuentes de intolerancia a la fructosa?,¿Cuál es el medicamento que no debe ser tomado por los pacientes con afecciones hereditarias poco frecuentes de intolerancia a la fructosa?
Sotil_Met__D5146-E-4834-01-Inst.-Sotil-Met-200x600-mm#8500,¿Qué pacientes están contraindicados para tomar SOTIL MET?,¿Qué pacientes están contraindicados para tomar SOTIL MET?
Sotil_Met__D5146-E-4834-01-Inst.-Sotil-Met-200x600-mm#8550,¿Cuál es el porcentaje aproximado de la dosis de sitagliptina que se elimina durante una sesión de hemodiálisis de 3 a 4 horas?,¿Cuál es el porcentaje aproximado de la dosis de sitagliptina que se elimina durante una sesión de hemodiálisis de 3 a 4 horas?
Sotil_Met_xr__D5160-E-4858-01-Inst.-Sotil-Met-XR-200x600-1#8600,¿La levotiroxina puede reducir el efecto reductor de la glucosa de la metformina?,¿La levotiroxina puede reducir el efecto reductor de la glucosa de la metformina?
Tiarix_CR__Instruccion-Tiarix-CR-web#8650,¿Cuál es el porcentaje de pacientes que debieron suspender el tratamiento con paroxetina debido a algún efecto adverso en pacientes con depresión?,¿Cuál es el porcentaje de pacientes que debieron suspender el tratamiento con paroxetina debido a algún efecto adverso en pacientes con depresión?
